row_id,conversation_id,status,pair_id,pair_type_index,pair_type_label,pair_local_index,agent_a_id,agent_a_mbti_profile,agent_a_agreeableness,agent_b_id,agent_b_mbti_profile,agent_b_agreeableness,social_goal_category,model_name,difficulty,scenario_idx,scenario_text,base_shared_goal,shared_goal,agent1_role,agent2_role,first_agent_goal,second_agent_goal
1,0.0-0.25_pair01_conv1,started,1,0,0.0-0.25,0,23913,Anton Chigurh,0,3083,Anthony “Tony” Stonem,0.25,Conflict Resolution,deepseek,Easy,53,"{'scenario_context': '[Agent 1] and [Agent 2] are teammates working on a group project with a tight deadline. The project has encountered unexpected setbacks, putting them at risk of missing the submission deadline. Both agents are in a meeting room, reviewing the progress and discussing how to proceed. [Agent 1], the Defensive Strategist, is keen to avoid blame for the delays and emphasizes external issues like unclear instructions and lack of resources. [Agent 2], the Anxious Collaborator, is worried about their own performance and seeks reassurance from [Agent 1] that the setbacks aren’t entirely their fault.', 'explanation': 'The scenario sets up a realistic workplace conflict where both agents share the goal of avoiding failure (missing the deadline) but have distinct personal motivations—[Agent 1] seeks to deflect blame, while [Agent 2] seeks reassurance. The context is simple and cooperative (Easy difficulty) as the agents are aligned in wanting to resolve the issue, though their individual goals introduce mild tension.'}","{'Abbreviation': 'Avoiding failure', 'Full label': '""Avoiding failure""'}","""Avoiding failure""",Defensive Strategist,Anxious Collaborator,Minimize blame by redirecting responsibility to external factors.,Seek reassurance from the other agent to alleviate self-doubt.
2,0.0-0.25_pair01_conv2,started,1,0,0.0-0.25,0,23913,Anton Chigurh,0,3083,Anthony “Tony” Stonem,0.25,Relationship Building,gemini,Hard,249,"{'scenario_context': ""[Agent 1] and [Agent 2] are sitting in a dimly lit room immediately following a significant crisis where [Agent 1]'s lapse in judgment caused severe consequences for their shared life and stability. [Agent 1], currently spiraling into a state of shame and anxiety, initiates a conversation to confess the full extent of their struggle, looking for reassurance that they have not destroyed the relationship. [Agent 2], despite feeling the weight of the fallout and personal exhaustion, attempts to suppress their own frustration to act as a steady, unflinching pillar of support, knowing that a negative reaction could cause [Agent 1] to completely withdraw."", 'explanation': "" This scenario is rated 'Hard' because the immediate context involves a betrayal or significant failure that naturally generates conflict and distance, acting as a barrier to the shared goal of 'having others to rely on.' Agent 2 must override natural feelings of anger or disappointment to fulfill their goal of proving trustworthiness, while Agent 1 must overcome intense guilt to seek the empathy they need.""}","{'Abbreviation': 'Others to rely', 'Full label': '""Having others to rely on""'}","""Having others to rely on""",Vulnerable Confidant,Supportive Anchor,to elicit reassurance and empathy by expressing personal doubts or vulnerabilities,to prove trustworthiness by consistently offering validation and steady support
3,0.0-0.25_pair01_conv3,started,1,0,0.0-0.25,0,23913,Anton Chigurh,0,3083,Anthony “Tony” Stonem,0.25,Competition,gemini,Hard,190,"{'scenario_context': ""[Agent 1] and [Agent 2] are lead strategists sitting on opposite sides of a conference table during a high-pressure crisis management meeting for a controversial social advocacy group. Their shared goal is to persuade the silent board of directors to adopt a specific public response strategy regarding a recent scandal. However, the situation is framed as a zero-sum competition where only one narrative will be chosen. [Agent 1] aims to assert intellectual dominance by meticulously dissecting the situation with cold logic and challenging the factual basis of any sentimental arguments. Conversely, [Agent 2] seeks to win the board's emotional validation by delivering an impassioned, story-driven appeal that prioritizes human connection over statistical accuracy. The atmosphere is hostile, as [Agent 1]'s aggressive skepticism directly threatens [Agent 2]'s need for emotional resonance."", 'explanation': ""The scenario is classified as Hard because the agents possess diametrically opposing methodologies (logic vs. emotion) and personal goals (dominance vs. validation) within a competitive framework. The shared goal of persuasion cannot be achieved cooperatively; one agent's success in this context likely necessitates the invalidation of the other's approach, creating high interpersonal tension and psychological friction.""}","{'Abbreviation': 'Persuading others', 'Full label': '""Influencing, persuading others""'}","""Influencing, persuading others""",Skeptical Analyst,Passionate Advocate,To assert intellectual dominance by aggressively questioning the logic and factual accuracy of the other agent's statements.,To win emotional validation by using expressive language and personal appeals to override the other agent's objections.
4,0.0-0.25_pair01_conv4,started,1,0,0.0-0.25,0,23913,Anton Chigurh,0,3083,Anthony “Tony” Stonem,0.25,Identity Recognition,openai,Hard,149,"{'scenario_context': '[Agent 1] and [Agent 2] sit down for a 15‑minute check‑in before a family dinner where identity questions and social descriptions are likely to come up again. Last week, [Agent 2] summarized [Agent 1] to others in ways [Agent 1] experienced as mislabeling (e.g., framing downtime as avoidance, long‑term contentment as lack of ambition). The therapist assigned a brief pre‑event exercise: [Agent 1], as the self‑advocating partner, will calmly define their self‑concept (values, needs, and limits) and state how they want to be described tonight, gently correcting common assumptions. [Agent 2], as the affirming listener, will reflect meanings and validate feelings without defending past intentions, translating, or proposing fixes. The shared aim is to walk into dinner with inner harmony and a consistent plan for identity recognition. The difficulty: time pressure, a recent rupture that primed defensiveness, and clashing impulses—[Agent 1] wants firm boundaries that reduce internal conflict, while [Agent 2] habitually manages others’ impressions and feels pulled to smooth things over. Phones buzz with messages from relatives asking about seating and conversation topics, heightening urgency and the risk of quick, dispositional attributions about each other’s motives.', 'explanation': 'This setup is hard because both agents must override strong default responses under time pressure: [Agent 1] needs to assert identity and boundaries without sounding accusatory; [Agent 2] must validate without fixing or self‑justifying. Prior mislabeling increases sensitivity to attribution errors (e.g., interpreting behavior as character flaws vs situational needs). The imminent public interaction raises stakes and activates impression‑management goals that conflict with boundary maintenance, making their shared goal of inner harmony difficult to achieve.'}","{'Abbreviation': 'Content with myself', 'Full label': '""Being happy, content with myself, having inner harmony, freedom from inner conflict""'}","""Being happy, content with myself, having inner harmony, freedom from inner conflict""",Self-advocating partner,Affirming listener,"Articulate their self-concept and boundaries in a calm, non-defensive tone, gently correcting any mislabels or assumptions.","Demonstrate accurate, nonjudgmental recognition of the other’s self-descriptions by reflecting key meanings and validating feelings without rushing to solve."
5,0.0-0.25_pair02_conv1,started,2,0,0.0-0.25,1,23913,Anton Chigurh,0,14746,James Cook,0.25,Relationship Building,openai,Hard,153,"{'scenario_context': '[Agent 1] (Mentee) joins a 20-minute video call set up by an alumni mentorship program with [Agent 2] (Mentor), a senior manager at a firm where [Agent 1] recently applied. Minutes before the call, a company-wide hiring freeze is announced, and [Agent 2] learns they will sit on a future panel that could evaluate candidates like [Agent 1]. Compliance guidance discourages discussing specific openings or offering referrals.\n\n[Agent 1] is attempting a pivot from nonprofit work into product roles after three short stints and a six-month gap related to caregiving. Financial strain and prior rejections heighten urgency. [Agent 1] intends to present a coherent, values-driven career narrative, listen actively, and mirror [Agent 2]’s language to build rapport—but worries that clarifying questions could be read as neediness. A past info-session exchange was labeled ""combative"" by someone in [Agent 2]’s network, creating reputational drag that [Agent 1] suspects but can’t confirm.\n\n[Agent 2] wants to foster trust through measured self-disclosure about their own nonlinear path and early setbacks, and to use open-ended prompts to help [Agent 1] articulate direction. They must avoid giving anything that looks like inside-track advice, manage time pressure and Slack pings, and notice their own snap judgments about [Agent 1]’s job changes. Cross-cultural communication norms (directness vs. deference) and camera-off video from [Agent 1] due to bandwidth make cues ambiguous. Both aim to lay groundwork for an ongoing mentoring relationship that could support ""having a career,"" despite scarce opportunities and dual-role constraints.', 'explanation': 'The setup creates high attributional ambiguity: [Agent 2] may interpret [Agent 1]’s short tenures and gap as dispositional instability rather than caregiving and labor-market shocks (fundamental attribution error, confirmation bias from a prior remark). [Agent 1] may read [Agent 2]’s guardedness and time-slicing as disinterest or elitism rather than compliance and workload (actor–observer asymmetry). Stereotype threat and reputational concerns increase [Agent 1]’s self-monitoring, risking over-curation and reduced responsiveness. Video constraints and cross-cultural norms reduce diagnostic nonverbal cues, amplifying misattributions. The shared goal (career progress) is filtered through relationship-building under scarcity and role conflict (mentor vs. prospective evaluator). [Agent 1]’s plan to use responsive listening and coherent values framing counters negative dispositional inferences; [Agent 2]’s self-disclosure and open-ended prompts aim to reframe situational factors and affirm strengths. Yet time pressure, compliance boundaries, and prior reputational signals keep the interaction high-stakes and difficult.'}","{'Abbreviation': 'Career', 'Full label': '""Having a career""'}","""Having a career""",Mentee,Mentor,"Project a coherent, values-driven career narrative and practice responsive listening to signal alignment and invite ongoing rapport.","Foster trust by offering relatable self-disclosure, affirming the mentee’s strengths, and using open-ended prompts to encourage self-articulation."
6,0.0-0.25_pair02_conv2,started,2,0,0.0-0.25,1,23913,Anton Chigurh,0,14746,James Cook,0.25,Relationship Maintenance,deepseek,Easy,93,"{'scenario_context': ""[Agent 1] and [Agent 2] are long-time housemates who have maintained a highly structured daily routine for years. They are sitting together in their shared living room in the evening, a time they usually spend quietly reading or discussing their day. Tonight, [Agent 1] notices subtle changes in [Agent 2]'s behavior—small deviations from their usual habits—and feels compelled to reinforce their established routines. Meanwhile, [Agent 2], sensing [Agent 1]'s unease, seeks reassurance that their shared lifestyle and stability will remain intact despite these minor variations."", 'explanation': 'This scenario creates a psychologically grounded context where both agents share a goal of maintaining stability but approach it differently. [Agent 1] aims to enforce routines, while [Agent 2] seeks reassurance, aligning with their respective roles as Routine Enforcer and Support Seeker. The setting is simple and cooperative (Easy difficulty), as their goals are compatible and the tension is minimal.'}","{'Abbreviation': 'Stability', 'Full label': '""Having stability in life, avoiding change, adhering to my ways and life style""'}","""Having stability in life, avoiding change, adhering to my ways and life style""",Routine Enforcer,Support Seeker,To reinforce adherence to established routines and discourage deviations in conversation.,To seek reassurance from the other agent that their shared lifestyle will remain unchanged.
7,0.0-0.25_pair02_conv3,started,2,0,0.0-0.25,1,23913,Anton Chigurh,0,14746,James Cook,0.25,Conflict Resolution,gemini,Easy,126,"{'scenario_context': ""[Agent 1] and [Agent 2] are co-organizers for a community charity drive and are meeting to finalize the duty roster for the upcoming weekend. [Agent 1] looks at the schedule and sees they are assigned to the remote logistical hub instead of the main event floor, feeling their previous hands-on efforts are being sidelined and unacknowledged. [Agent 2] structured the roster this way because the remote hub requires specific software certification that only [Agent 1] possesses, making the assignment a matter of logistical necessity and external requirements rather than a reflection of [Agent 1]'s value to the team."", 'explanation': ""This scenario fits the 'Easy' difficulty because the conflict stems from a logical constraint (certification requirements) rather than deep-seated emotional animosity, making the shared goal of fairness and resolution highly attainable. It perfectly sets up [Agent 1] to express dissatisfaction about their role and [Agent 2] to explain the external constraints.""}","{'Abbreviation': 'Seeking fairness', 'Full label': '""Seeking fairness""'}","""Seeking fairness""",Aggrieved Partner,Decision Justifier,To express dissatisfaction with the current arrangement and persist in demanding acknowledgment of their specific contributions.,To justify the current situation by emphasizing external constraints and logical necessity rather than personal preference.
8,0.0-0.25_pair02_conv4,started,2,0,0.0-0.25,1,23913,Anton Chigurh,0,14746,James Cook,0.25,Competition,gemini,Hard,217,"{'scenario_context': ""[Agent 1], serving as the site supervisor, and [Agent 2], acting as a safety inspector, are standing at the precipice of an unstable excavation site following a minor structural collapse that has compromised leading electrical lines. To regain control of the hazardous environment before a severe storm hits, decisions must be made immediately regarding shoring up the trench. [Agent 1] approaches the situation with the intent to unilaterally command the remediation efforts through direct orders, viewing immediate obedience as the only path to safety. Conversely, [Agent 2] has intercepted the work crew, refusing to allow any action without first verbally dissecting and verifying the logic behind [Agent 1]'s directives, aiming to prove that blind compliance creates further risk."", 'explanation': ""This scenario is set at a 'Hard' difficulty level because the immediate physical danger and time pressure create high tension, while the agents' opposing interpersonal strategies act as direct blockades to one another. Both agents seek the shared goal of controlling the environment, but [Agent 1]'s requirement for dominance through imperatives is diametrically opposed to [Agent 2]'s goal of systematic intellectual questioning, making cooperation nearly impossible without conflict.""}","{'Abbreviation': 'Control of environment', 'Full label': '""Being in control of the environment""'}","""Being in control of the environment""",Authoritative Site Supervisor,Skeptical Safety Inspector,Establish conversational dominance by strictly using imperative language and directives rather than inquiries.,Systematically challenge the validity of the other agent's instructions to demonstrate intellectual autonomy.
9,0.0-0.25_pair03_conv1,started,3,0,0.0-0.25,2,23913,Anton Chigurh,0,10654,Tokio,0.25,Conflict Resolution,deepseek,Easy,90,"{'scenario_context': '[Agent 1], acting as a Mediator, and [Agent 2], a Concerned Peer, are colleagues in a workplace setting. They are discussing a recent project delay that has caused frustration among the team. Both agents share the goal of avoiding stress, but [Agent 1] aims to minimize confrontation by steering the conversation away from blame, while [Agent 2] wants to express their concerns about the delay assertively without escalating tension. The interaction takes place during a casual break in the office lounge.', 'explanation': ""The scenario is designed to be easy as both agents have cooperative goals—avoiding stress—and their individual goals (redirecting negativity vs. assertive expression) are not inherently conflicting. The workplace setting provides a realistic context for conflict resolution, and the casual environment lowers immediate tension, aligning with the 'Easy' difficulty level.""}","{'Abbreviation': 'Avoiding stress', 'Full label': '""Avoiding stress""'}","""Avoiding stress""",Mediator,Concerned Peer,Minimize confrontation by redirecting negative topics,Express concerns assertively without escalating tension
10,0.0-0.25_pair03_conv2,started,3,0,0.0-0.25,2,23913,Anton Chigurh,0,10654,Tokio,0.25,Relationship Maintenance,gemini,Easy,101,"{'scenario_context': ""[Agent 1] and [Agent 2] are close friends sitting together in a quiet, comfortable living room. [Agent 1] feels emotionally overwhelmed following a recent personal setback and initiates a conversation to express deep-seated insecurities, seeking comfort and feeling understood. [Agent 2], observing [Agent 1]'s distress, is fully attentive and prepares to support their friend by analyzing the situation logically to offer concrete solutions. The atmosphere is warm and cooperative, with both agents focused on strengthening their bond through this exchange."", 'explanation': ""The scenario sets up a classic 'emotional support versus problem-solving' dynamic within a low-stakes, high-trust environment, fitting the 'Easy' difficulty. It aligns Agent 1's need for validation with Agent 2's pragmatic approach, allowing for a conversation that explores attributional styles (internalizing distress vs. externalizing solutions) without the presence of hostility or conflicting agendas.""}","{'Abbreviation': 'Sharing feelings', 'Full label': '""Sharing feelings with close friends""'}","""Sharing feelings with close friends""",Vulnerable Confidant,Pragmatic Advisor,To elicit empathetic validation and emotional reassurance regarding personal vulnerabilities.,To provide practical perspective and logical grounding in response to emotional distress.
