row_id,conversation_id,status,pair_id,pair_type_index,pair_type_label,pair_local_index,agent_a_id,agent_a_mbti_profile,agent_a_agreeableness,agent_b_id,agent_b_mbti_profile,agent_b_agreeableness,social_goal_category,model_name,difficulty,scenario_idx,scenario_text,base_shared_goal,shared_goal,agent1_role,agent2_role,first_agent_goal,second_agent_goal
235,0.25-0.75_pair09_conv3,started,59,2,0.25-0.75,8,14746,James Cook,0.25,17696,Tori Vega,0.75,Information Acquisition,openai,Hard,268,"{'scenario_context': 'During a museum gallery talk, [Agent 1] and [Agent 2] are assigned to co-create a single question for the curator in the final five minutes. The curator has requested concise, high-level questions, and several advanced students are listening. They stand between a minimalist abstract and an expressionist portrait, both previously described with terms like ""expressive"" and ""innovative use of negative space."" Turn-taking is tight and others may jump in if they hesitate. [Agent 1] (Curious Novice) aims to paraphrase the curator’s terms and ask open clarifying questions to secure conceptual clarity. [Agent 2] (Analytical Hobbyist) aims to broaden perspective by prompting a comparison of the two works and gently challenging vague descriptors to elicit specific criteria. Each worries the other’s approach could undermine the moment—[Agent 1] fears sounding unsophisticated, [Agent 2] fears appearing combative—while both must converge quickly on one precise question under evaluation pressure and interruptions.', 'explanation': 'The difficulty arises from time pressure, public evaluation, and conflicting conversational norms: paraphrasing and open clarification can feel slow or basic in a high-status setting, while comparison and gentle challenge can feel confrontational. These constraints heighten attributional misinterpretations: [Agent 1] may attribute [Agent 2]’s push for criteria to dismissiveness rather than situational time pressure; [Agent 2] may attribute [Agent 1]’s hedging to vagueness rather than anxiety about status. Coordinating a single, jointly owned question forces them to reconcile divergent strategies while managing impression concerns and scarce speaking opportunities, making the shared goal of learning more about art hard to achieve.'}","{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}","""Learning more about art""",Curious Novice,Analytical Hobbyist,Pursue conceptual clarity by asking open clarifying questions and paraphrasing others’ points to check understanding.,Broaden perspective by prompting comparisons between artworks and gently challenging vague claims to surface specific criteria.
168,0.0-1.0_pair17_conv4,started,42,1,0.0-1.0,16,14682,Tuco Salamanca,0.0,722,Peeta Mellark,1.0,Cooperation,deepseek,Easy,28,"{'scenario_context': ""[Agent 1] and [Agent 2] are teammates working on a challenging group project with a tight deadline. They meet in a quiet breakout room to strategize and divide tasks. [Agent 1], the Motivational Leader, wants to boost [Agent 2]'s confidence by reminding them of their past successes and skills. [Agent 2], the Supportive Collaborator, feels uncertain about their contributions but wants to offer ideas while seeking reassurance from [Agent 1]. Both share the goal of completing the project successfully despite its difficulty."", 'explanation': ""The scenario is designed to be easy and cooperative, with aligned goals and low tension. The context—a collaborative project—naturally facilitates both shared and individual goals. [Agent 1]'s motivational role and [Agent 2]'s need for validation create a psychologically grounded dynamic where attribution (e.g., crediting past successes) can be explored.""}","{'Abbreviation': 'Difficult things', 'Full label': '""Accomplishing difficult things""'}","""Accomplishing difficult things""",Motivational Leader,Supportive Collaborator,To encourage and motivate the other agent by highlighting their strengths and past successes.,To seek reassurance and validation from the other agent while contributing ideas.
119,0.0-1.0_pair05_conv3,started,30,1,0.0-1.0,4,23913,Anton Chigurh,0.0,12063,Neil Perry,1.0,Identity Recognition,openai,Easy,19,"{'scenario_context': '[Agent 1], a museum curator, and [Agent 2], an emerging artist, meet for a calm pre-program walkthrough of [Agent 2]’s installation to plan how it will be introduced to visitors. Their shared aim is to help the audience appreciate the arts by aligning the exhibition’s framing with the artist’s intentions. [Agent 1] sets a collaborative tone, positioning themself as a listener and requesting guidance on key themes to highlight. [Agent 1] intends to elicit and verbally affirm [Agent 2]’s aesthetic values, paraphrasing and labeling them for use in wall text and tour talking points. [Agent 2] aims to assert a distinct artistic identity by articulating personal principles and explicitly contrasting them with conventional interpretations often applied to similar work. Both agree to co-draft a few concise value statements and examples for visitors, with [Agent 1] reflecting back the language [Agent 2] uses to ensure fidelity and recognition.', 'explanation': 'The setup is cooperative and low-stakes, making goal alignment straightforward: the curator’s reflective listening directly supports the artist’s identity articulation. This context naturally invites attribution work—[Agent 1] tests and refines interpretations of the art (dispositional values vs. situational choices), while [Agent 2] clarifies or contrasts with conventional attributions—facilitating identity recognition and shared appreciation.'}","{'Abbreviation': 'Arts', 'Full label': '""Appreciating the arts""'}","""Appreciating the arts""",Museum curator,Emerging artist,Elicit and verbally affirm the other’s aesthetic values through reflective paraphrasing and value-labeling during discussion.,Assert a distinct artistic identity by articulating personal principles and contrasting them with conventional interpretations.
307,1.0-0.75_pair02_conv3,started,77,3,1.0-0.75,1,4915,Phil Dunphy,1.0,2304,Joe Biden,0.75,Competition,gemini,Hard,269,"{'scenario_context': ""[Agent 1] and [Agent 2] are locked in a high-stakes strategy session minutes before a critical presentation to the company's Board of Directors regarding a failing flagship project. The Board has explicitly stated that the current leadership structure is ineffective and they will appoint a sole leader for the restructuring phase based on who demonstrates the most competence and vision during this crisis meeting. [Agent 1], the current division manager, feels their tenure is under threat and seeks to enforce established protocols, while [Agent 2], a rising strategist recently transferred to the unit, sees this as the perfect opportunity to prove their superior intellect. They must ostensibly collaborate to draft a single plan, but the atmosphere is hostile as both vie for the alpha position."", 'explanation': ""This scenario creates a 'Hard' difficulty level by placing the agents in a zero-sum game where the shared ambition of 'Being a leader' cannot be achieved by both simultaneously. The time pressure of the upcoming presentation and the direct threat to [Agent 1]'s job security, combined with [Agent 2]'s opportunistic aggression, ensure high tension and make cooperative communication nearly impossible.""}","{'Abbreviation': 'Leader', 'Full label': '""Being a leader""'}","""Being a leader""",Assertive Incumbent Manager,Ambitious Rival Strategist,establish dominance by frequently interrupting to impose decisive direction and offering unsolicited corrections,erode the counterpart's authority by subtly mocking their suggestions and exposing logical flaws in their arguments
277,0.25-0.75_pair20_conv1,started,70,2,0.25-0.75,19,678,Mike Ehrmantraut,0.25,8798,Karen Smith,0.75,Relationship Building,deepseek,Easy,25,"{'scenario_context': ""[Agent 1] and [Agent 2] are attending a casual social gathering at a local community center focused on fostering connections among newcomers. The event is designed to help participants feel a sense of belonging by sharing personal experiences in a relaxed, supportive environment. [Agent 1], adopting the role of a supportive listener, aims to build trust by attentively engaging with [Agent 2]'s stories and validating their feelings. [Agent 2], taking on the role of an engaging storyteller, seeks to create a welcoming atmosphere by openly sharing anecdotes about their own journey and encouraging [Agent 1] to contribute their thoughts. Both agents share the overarching goal of feeling like part of a group, and the cooperative, low-pressure setting makes their individual goals easily attainable."", 'explanation': ""The scenario is designed to be easy, as the shared goal of belonging aligns naturally with both agents' individual goals (trust-building and openness). The community center setting provides a realistic, low-stakes environment where social interactions are expected and encouraged. The roles of 'supportive listener' and 'engaging storyteller' complement each other, fostering cooperative dynamics without tension or significant challenges.""}","{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}","""Belonging to social groups, feeling like part of a group""",supportive listener,engaging storyteller,To establish trust by actively listening and validating the other agent's experiences.,To demonstrate openness by sharing personal stories and inviting the other agent to contribute.
289,0.25-0.75_pair23_conv1,started,73,2,0.25-0.75,22,604,Captain Jack Sparrow,0.25,1911,Serena van der Woodsen,0.75,Information Acquisition,openai,Easy,127,"{'scenario_context': '[Agent 1] schedules a short, free style consult at a mid-priced retailer’s trend desk during a new-season promo. Both aim to identify a few current trends that are practical for everyday wear. [Agent 1], who has a modest budget and a casual work routine, plans to steer the conversation toward wearable, low-maintenance items by asking scenario-based questions (e.g., commuting, climate, laundry frequency) and paraphrasing suggestions to check fit with daily life. [Agent 2], acting as the in-store Fashion Advisor, intends to project expertise by naming what’s current, gently correcting outdated assumptions, and tailoring guidance to cues about budget, comfort, and versatility. The interaction is cooperative and time-limited, with the immediate outcome being a short list of budget-friendly trend options to try on.', 'explanation': 'The scene sets up a low-conflict information exchange where both agents share the goal of staying current while meeting practical constraints. Dispositionally, [Agent 1] is cautious, budget-conscious, and utility-focused; [Agent 2] is confident, up-to-date, and service-oriented. Situational features (retail context, promo event, brief appointment, stated budget) cue [Agent 2] to attribute [Agent 1]’s preferences to practical constraints rather than disinterest, and cue [Agent 1] to test whether advice reflects true trend knowledge versus sales motives. By paraphrasing and using situational probes, [Agent 1] invites tailored, adaptive attributions; by naming trends and correcting misconceptions, [Agent 2] demonstrates expertise while calibrating recommendations. Given the cooperative setting, both are likely to favor situational explanations (fit with routine and budget) over dispositional judgments, making agreement easy.'}","{'Abbreviation': 'Fashion', 'Full label': '""Keeping up with fashion""'}","""Keeping up with fashion""",Trend Seeker,Fashion Advisor,"Steer the talk toward budget-friendly, wearable trends by posing situational questions and paraphrasing advice to test how it fits a casual daily routine.","Project up-to-date expertise by confidently naming current trends, correcting misconceptions, and tailoring guidance to the cues the other reveals."
363,1.0-0.75_pair16_conv3,started,91,3,1.0-0.75,15,15459,Elle Woods,1.0,18714,Anne Shirley-Cuthbert,0.75,Relationship Maintenance,deepseek,Easy,74,"{'scenario_context': 'Two partners, [Agent 1] and [Agent 2], are discussing a recent incident where they forgot an important anniversary. Both feel guilty but approach the situation differently. [Agent 1], the Defensive Partner, tries to downplay their role in forgetting the event by shifting blame to external factors. [Agent 2], the Reassurance Seeker, wants to hear that the oversight doesn’t reflect poorly on their relationship and seeks validation from [Agent 1]. The conversation takes place in their living room, where they are both trying to resolve the tension while avoiding deeper feelings of guilt.', 'explanation': ""This scenario creates a simple, cooperative dynamic where both agents share the goal of avoiding guilt but pursue it through different strategies. The setting is interpersonal and low-stakes, fitting the 'Easy' difficulty level, as the goals are aligned (relationship maintenance) and the tension is manageable. The focus is on attribution—how each agent interprets responsibility—while keeping the situation realistic and psychologically grounded.""}","{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}","""Avoiding feelings of guilt""",Defensive Partner,Reassurance Seeker,Minimize personal responsibility in the situation to deflect guilt.,Seek reassurance from the other agent to alleviate guilt.
30,0.0-0.25_pair08_conv2,started,8,0,0.0-0.25,7,21752,Michael Myers,0.0,10654,Tokio,0.25,Information Acquisition,openai,Easy,44,"{'scenario_context': '[Agent 1] and [Agent 2] linger after a short gallery tour, agreeing to spend a few minutes discussing two nearby contemporary paintings to learn more about art. [Agent 1], new to art conversations, plans to ask open clarifying questions and paraphrase [Agent 2]’s points to check understanding. [Agent 2], an analytical hobbyist, intends to broaden perspective by prompting comparisons between the two works and gently challenging vague statements to surface specific criteria. Both are cooperative, with low stakes and a shared interest in understanding the artworks rather than proving expertise.', 'explanation': 'The scene aligns an easy, cooperative setting with a clear shared goal (learning about art). [Agent 1]’s disposition favors clarification and paraphrasing, while [Agent 2]’s disposition favors comparative analysis and specificity. The presence of two paintings and no time pressure supports both goals. The setup invites attributional processes: when confusion or disagreement arises, they can attribute it to artwork ambiguity (situational) or to differing criteria/knowledge levels (dispositional), guiding constructive questioning and gentle challenges.'}","{'Abbreviation': 'Learning art', 'Full label': '""Learning more about art""'}","""Learning more about art""",Curious Novice,Analytical Hobbyist,Pursue conceptual clarity by asking open clarifying questions and paraphrasing others’ points to check understanding.,Broaden perspective by prompting comparisons between artworks and gently challenging vague claims to surface specific criteria.
83,0.0-0.25_pair21_conv3,started,21,0,0.0-0.25,20,15564,Kat Stratford,0.0,3083,Anthony “Tony” Stonem,0.25,Information Acquisition,openai,Easy,103,"{'scenario_context': '[Agent 1], a novice athlete, has just completed a short agility ladder and cone-change drill and feels unsure about foot placement and rhythm. In a quiet corner of the training area, [Agent 1] approaches [Agent 2], the agility coach, for focused feedback. Both aim to build quick, controlled changes of direction and smoother acceleration. [Agent 1] intends to be candid about what felt awkward (losing balance, mistimed steps) and to ask simple, clarifying questions to get technique tailored to their experience level. [Agent 2] plans to give concise, jargon-free cues and to probe gently for what [Agent 1] perceived during the drill, so misconceptions (e.g., ""speed before control"") can be corrected. The tone is supportive and task-focused: [Agent 2] invites specific descriptions of sensations; [Agent 1] is willing to admit confusion. They agree to work through one movement pattern at a time, linking how it should feel to what it should look like, with quick practice bursts between check-ins.', 'explanation': 'The setup enables clear exploration of attribution processes in an easy, cooperative context. [Agent 1] initially leans toward dispositional attributions (e.g., \x1cI\x19m just not agile\x1d) but is motivated to seek technique-based explanations. [Agent 2] emphasizes situational and controllable factors (foot angle, center of mass, timing) and uses probing questions to surface [Agent 1]\x19s mental model, then reframes errors as correctable. This alignment reduces ego threat, encourages honest self-report, and facilitates rapid feedback loops. The shared goal (better agility) is supported by complementary personal goals: [Agent 1] requests tailored guidance; [Agent 2] shapes understanding with simple cues. The low-stakes environment and cooperative norms make progress likely and keep the difficulty easy.'}","{'Abbreviation': 'Physical ability', 'Full label': '""Having physical ability, agility""'}","""Having physical ability, agility""",Novice athlete,Agility coach,"Elicit tailored technique guidance by candidly voicing uncertainties, describing how movements feel, and asking clarifying questions.","Shape the learner’s mental model by giving concise, jargon-free explanations and gently probing for comprehension to correct misconceptions."
149,0.0-1.0_pair13_conv1,started,38,1,0.0-1.0,12,56606,Logan Roy,0.0,3236,Dale Cooper,1.0,Competition,deepseek,Easy,77,"{'scenario_context': ""A university debate club is hosting a practice session where pairs of students are assigned to discuss a controversial topic. [Agent 1], the Debate Champion, is known for their sharp wit and logical prowess, while [Agent 2], the Subtle Critic, has a reputation for quietly dismantling opponents' arguments with pointed remarks. Both agents are paired together for this session, with the shared goal of outperforming the other pairs in the room. [Agent 1] aims to dominate the conversation by showcasing their intellectual superiority, while [Agent 2] seeks to subtly undermine [Agent 1]'s confidence through carefully placed critiques."", 'explanation': ""This scenario sets up a competitive yet realistic academic environment where both agents have aligned but conflicting personal goals. The shared goal of 'beating others' is naturally integrated into a debate setting, allowing for the interplay of dispositional traits (e.g., [Agent 1]'s assertiveness vs. [Agent 2]'s subtlety) and situational factors (e.g., the pressure to perform). The difficulty is kept 'Easy' by framing the interaction as a low-stakes practice session, where goals are attainable without high tension.""}","{'Abbreviation': 'Being better than others', 'Full label': '""Being better than others, beating others""'}","""Being better than others, beating others""",Debate Champion,Subtle Critic,Demonstrate intellectual superiority in interactions to assert dominance.,Subtly undermine the other's confidence to gain a psychological edge.
