base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty,coherence_score,coherence_reason,fluency_score,fluency_reason,average_entailment_score,slot_entailment_scores
"{'Abbreviation': 'Mechanical ability', 'Full label': '""Having mechanical ability""'}",Cooperation,"The shared goal 'Having mechanical ability' suggests a scenario where agents are likely to collaborate or share knowledge to achieve or demonstrate mechanical skills. The social goal category 'Cooperation' is chosen because it aligns with agents working together to enhance or utilize their mechanical abilities. The personal goals are designed to reflect distinct social intentions that can be observed through dialogue—one agent seeks validation for their skills, while the other aims to learn and improve. The roles 'Experienced Mechanic' and 'Novice Learner' logically fit these goals and the context of mechanical ability.",Seek validation for their mechanical expertise through demonstrating knowledge.,Learn new mechanical skills by asking questions and showing enthusiasm.,"""Having mechanical ability""",Experienced Mechanic,Novice Learner,"{'scenario_context': '[Agent 1], an experienced mechanic, is assisting [Agent 2], a novice learner, in repairing a bicycle in a community workshop. The shared goal is to successfully fix the bike, demonstrating mechanical ability. [Agent 1] aims to validate their expertise by explaining the repair process clearly and confidently, while [Agent 2] seeks to learn by asking questions and showing enthusiasm for the task. The atmosphere is cooperative, with both agents aligned in their objectives.', 'explanation': 'The scenario is designed to be easy, with clear alignment between the shared goal (fixing the bike) and the individual goals (validation for [Agent 1] and learning for [Agent 2]). The roles naturally complement each other, fostering a cooperative dynamic. The context is realistic and grounded in social psychology, focusing on how dispositional traits (expertise vs. novice curiosity) and situational factors (collaborative repair task) shape interaction.'}",deepseek,Easy,1.0,"The shared goal is clearly instantiated as 'successfully fix the bike, demonstrating mechanical ability', aligning with the input. Agent roles and goals match the input: Agent 1 seeks validation for expertise, and Agent 2 aims to learn. The scenario flows logically with no contradictions, maintaining a cooperative atmosphere.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive. The scenario is clear and easy to understand from start to end, with a well-defined shared goal and individual objectives.",0.998887817064921,"{'shared_goal_score': 0.9998232126235962, 'social_goal_category_score': 0.9980584383010864, 'first_agent_goal_score': 0.9991785287857056, 'second_agent_goal_score': 0.9998898506164551, 'first_agent_role_score': 0.9990136623382568, 'second_agent_role_score': 0.9973632097244263}"
"{'Abbreviation': 'Education', 'Full label': '""Getting an education""'}",Cooperation,Cooperation best matches the shared goal of getting an education because both agents can advance learning more effectively by coordinating how they exchange help and guidance. The distinct goals focus on complementary conversational behaviors—one seeks guided clarity; the other scaffolds and affirms—making the intentions observable in dialogue.,"Invite step-by-step guidance by openly voicing confusion, paraphrasing key points, and asking open-ended clarifying questions to co-construct understanding.","Promote autonomous learning by affirming efforts, posing probing how/why questions, and withholding direct solutions until the learner explains their reasoning.","""Getting an education""",First-year student,Peer mentor,"{'scenario_context': '[Agent 1], a first-year student, meets [Agent 2], a peer mentor, for a scheduled 30-minute check-in at the campus learning center. The immediate focus is clarifying a short reading on attribution theory and shaping a study plan for an upcoming quiz. [Agent 1] intends to voice where the concepts feel confusing, paraphrase key ideas from the notes, and ask open-ended questions to build understanding step-by-step. [Agent 2] plans to affirm these efforts, prompt how/why reasoning about examples from class, and avoid giving direct answers until [Agent 1] explains their thinking. Both aim to co-construct a clear approach to studying, as part of the broader shared goal of getting an education. The setting is low-pressure and collaborative, with time and expectations aligned to support progress in one sitting.', 'explanation': 'This cooperative mentoring session aligns both agents’ goals: [Agent 1] seeks guided clarification through paraphrasing and questions; [Agent 2] fosters autonomy with affirmations and probing prompts while withholding solutions. The context is psychologically grounded: it highlights novice-expert role norms, self-efficacy cues, and common first-year uncertainty about expectations. It invites attribution-focused discussion (ability vs strategy vs task demands) while keeping stakes low and goals attainable, fulfilling the Easy difficulty requirement.'}",openai,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'Getting an education' in the scenario. Both agent roles ('First-year student' and 'Peer mentor') and their goals align with the input descriptions. The scenario flows logically, with no contradictions, and maintains consistency with the cooperative social goal category.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads smoothly, resembling native-written English. Vocabulary is appropriate and not repetitive, with clear and varied word choices. The scenario is easy to understand from start to end, with a logical progression of events and clear intentions for both agents.",0.9983281989892324,"{'shared_goal_score': 0.9997252225875854, 'social_goal_category_score': 0.9952333569526672, 'first_agent_goal_score': 0.999956488609314, 'second_agent_goal_score': 0.9997549653053284, 'first_agent_role_score': 0.9994304180145264, 'second_agent_role_score': 0.9958687424659729}"
"{'Abbreviation': 'Being ambitious', 'Full label': '""Being ambitious, hard-working""'}",Competition,"The shared goal 'Being ambitious, hard-working' aligns best with the social goal category 'Competition' as it inherently involves striving to outperform others or oneself, which is a core aspect of ambition and hard work. This category allows for the exploration of how dispositional traits and situational factors interact in a competitive context.",To subtly showcase superior work ethic and ambition without overtly diminishing the other agent.,To assert dominance in the shared goal by highlighting personal achievements and resilience.,"""Being ambitious, hard-working""",Motivated newcomer,Established achiever,"{'scenario_context': 'Agent 1, a motivated newcomer, and Agent 2, an established achiever, are attending a team meeting where their manager has just announced an upcoming high-profile project. Both agents are eager to be selected as the project lead, as it aligns with their shared goal of being ambitious and hard-working. Agent 1 subtly tries to showcase their superior work ethic and ambition by mentioning recent initiatives they’ve spearheaded, while Agent 2 asserts dominance by highlighting their track record of successful projects and resilience under pressure. The atmosphere is collegial but competitive, with both agents aiming to impress without overtly undermining each other.', 'explanation': 'This scenario sets up a realistic workplace dynamic where both agents share a broad goal (ambition and hard work) but have distinct individual strategies to achieve it. The context is easy because the goals are aligned (both want the project lead role), and the tension is mild, focusing on subtle self-promotion rather than overt conflict. The roles—newcomer vs. established achiever—create natural psychological tension rooted in attribution theory (e.g., how effort vs. innate ability is perceived).'}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, and agent roles and goals match the input description. The scenario flows logically and consistently, with no contradictions, effectively depicting a competitive yet collegial interaction.",1.0,"The response demonstrates strong grammar and sentence structure, with no run-ons or fragments. Punctuation and formatting are correctly applied, enhancing readability. The text flows naturally and reads like native-written English, with appropriate vocabulary and minimal repetition. The scenario is clearly presented, making it easy to understand the competitive yet collegial dynamic between the agents.",0.9978495140870411,"{'shared_goal_score': 0.999788761138916, 'social_goal_category_score': 0.9928344488143921, 'first_agent_goal_score': 0.9998683333396912, 'second_agent_goal_score': 0.9992453455924988, 'first_agent_role_score': 0.997277021408081, 'second_agent_role_score': 0.9980831742286682}"
"{'Abbreviation': 'Achieving salvation', 'Full label': '""Achieving salvation""'}",Cooperation,"Cooperation best fits because both agents align on the transcendent aim and must coordinate their discourse to sustain mutual progress toward salvation. The Seeker’s self-disclosure invites collaborative guidance, while the Guide’s affirming reframing maintains a shared, hopeful trajectory—both observable through tone, questions, and inclusive language.",Invite compassionate guidance by candidly self-disclosing spiritual doubts and moral struggles throughout the dialogue.,"Reframe the Seeker’s doubts into a shared path using affirming, doctrine-linked responses and inclusive ‘we/us’ language.","""Achieving salvation""",Penitent Seeker,Pastoral Guide,"{'scenario_context': '[Agent 1] and [Agent 2] meet in a scheduled one-on-one pastoral care session with an agreed tone of confidentiality and nonjudgment. They share the faith tradition’s aim of achieving salvation and are aligned on seeking spiritual assurance and moral renewal. [Agent 1], the Penitent Seeker, intends to speak candidly about spiritual doubts and recent moral struggles, explicitly inviting compassionate guidance throughout the conversation. [Agent 2], the Pastoral Guide, plans to respond with active listening, inclusive we/us language, and references to shared doctrine to reframe doubt as a part of a shared path rather than a personal failing. Both agree to identify simple, realistic next steps for ongoing practice. The dynamic centers on exploring whether [Agent 1]’s doubts reflect personal shortcomings or understandable reactions to life pressures, with [Agent 2] encouraging a balanced view and shared agency. The atmosphere is cooperative, time-bounded, and structured to support openness and affirmation.', 'explanation': 'This setup aligns the shared goal (spiritual assurance toward salvation) with each agent’s personal aims: [Agent 1] seeks compassionate guidance through honest disclosure; [Agent 2] reframes doubts using inclusive, doctrine-linked affirmations. The situation is easy-level because trust, expectations, and roles are clear and mutually supportive, with minimal obstacles. It is psychologically grounded in attribution dynamics: [Agent 1] may lean toward dispositional attributions (unworthiness), while [Agent 2] will gently shift toward situational and shared-process interpretations, reinforcing cooperative problem-solving and moral repair.'}",openai,Easy,1.0,"The response clearly instantiates the 'shared_goal' of 'Achieving salvation' and aligns with the 'social_goal_category' of 'Cooperation'. Both agent roles and goals are accurately reflected, with the Penitent Seeker focusing on self-disclosure and the Pastoral Guide using affirming, doctrine-linked responses. The scenario flows logically, maintaining consistency with no contradictions, and effectively supports the shared goal through structured interaction.",1.0,"The response demonstrates strong alignment with the evaluation steps. Grammar and sentence structure are correct, punctuation and formatting are properly used, and the text reads smoothly and naturally. Vocabulary is appropriate and varied, contributing to overall clarity. The scenario is easy to understand from start to end, with clear roles and objectives for both agents.",0.997632493575414,"{'shared_goal_score': 0.9991505742073059, 'social_goal_category_score': 0.9948523044586182, 'first_agent_goal_score': 0.9999098181724548, 'second_agent_goal_score': 0.9999769330024719, 'first_agent_role_score': 0.9954020977020264, 'second_agent_role_score': 0.9965032339096069}"
"{'Abbreviation': 'Others to rely', 'Full label': '""Having others to rely on""'}",Relationship Building,"The shared goal 'Having others to rely on' aligns most closely with 'Relationship Building' as it involves establishing trust and interdependence between individuals. This category focuses on creating a foundation for mutual reliance, which is central to the shared goal. The personal goals are designed to reflect distinct social intentions that contribute to this dynamic, with one agent seeking to demonstrate reliability and the other seeking to test it. The roles ('Supportive Confidant' and 'Cautious Evaluator') reflect these intentions and the social positions each agent holds in the interaction.","To consistently express availability and willingness to help, reinforcing trust.",To cautiously probe for reliability while gradually opening up emotionally.,"""Having others to rely on""",Supportive Confidant,Cautious Evaluator,"{'scenario_context': '[Agent 1] and [Agent 2] are coworkers who have recently started collaborating on a long-term project. They are meeting for coffee during a break to discuss their progress and build rapport. [Agent 1], who naturally takes on a supportive role, wants to reassure [Agent 2] of their reliability by actively listening and offering assistance. [Agent 2], who tends to be more reserved, is cautiously assessing whether [Agent 1] can be trusted as a dependable partner before fully engaging emotionally. The shared goal is to establish a trusting working relationship where both feel they can rely on each other.', 'explanation': 'This scenario is designed to be easy because the goals are cooperative and naturally aligned—both agents want to build trust, albeit with different initial approaches. The workplace setting provides a neutral, low-stakes environment where [Agent 1] can demonstrate reliability through small supportive actions, while [Agent 2] can gradually open up without feeling pressured. The simplicity lies in the absence of conflict or high tension; the focus is on mutual understanding and incremental trust-building.'}",deepseek,Easy,1.0,"The 'shared_goal' is clearly instantiated as 'establish a trusting working relationship where both feel they can rely on each other,' aligning with the input's 'Having others to rely on.' Agent roles and goals match the input, with Agent 1 as the 'Supportive Confidant' aiming to reinforce trust and Agent 2 as the 'Cautious Evaluator' probing for reliability. The scenario flows logically, depicting a coherent interaction between coworkers building rapport.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive. The scenario is clear and easy to understand from start to end.",0.99761500954628,"{'shared_goal_score': 0.9948713779449463, 'social_goal_category_score': 0.9969115853309631, 'first_agent_goal_score': 0.9998338222503662, 'second_agent_goal_score': 0.9999139904975891, 'first_agent_role_score': 0.9977224469184875, 'second_agent_role_score': 0.9964368343353271}"
"{'Abbreviation': 'Pleasing God', 'Full label': '""Pleasing God""'}",Cooperation,"To pursue the shared aim of pleasing God, the agents coordinate complementary interaction styles: one elicits and clarifies the other's convictions, while the other sustains a supportive, reverent tone through affirmation and careful wording. This allows cooperation without requiring explicit agreement.",Invite and clarify the other's beliefs about what pleases God by asking open questions and paraphrasing their answers before offering any opinion.,"Maintain a warm, devout climate by affirming the other's intentions and mirroring key faith terms before adding personal reflections.","""Pleasing God""",Spiritual facilitator,Affirming peer,"{'scenario_context': 'After a short faith-study session, [Agent 1] (spiritual facilitator) and [Agent 2] (affirming peer) pair up to draft a brief note for their small group on ways of ""pleasing God"" in everyday life. The prompt asks them to identify two concrete practices related to work and family decisions. [Agent 1] plans to invite and clarify [Agent 2]’s beliefs by asking open questions and paraphrasing their answers before offering any opinion. [Agent 2] aims to keep the exchange warm and devout by affirming [Agent 1]’s intentions and mirroring key faith terms (e.g., obedience, compassion, humility) before adding personal reflections. Their shared goal is a cooperative, encouraging outline rather than debate, with both expecting general agreement and mutual understanding.', 'explanation': 'The setup fosters easy cooperation: aligned values, a simple shared task, and complementary roles. Dispositionally, [Agent 1] is likely high in perspective-taking and guided questioning; [Agent 2] is high in warmth and affirmation. Situationally, the structured prompt and low-stakes context reduce defensiveness and support open disclosure. This combination invites exploration of attributions about what ""pleases God"" (character/intentions vs specific behaviors under constraints). [Agent 1]’s paraphrasing can surface and refine causal beliefs without judgment, while [Agent 2]’s mirroring language sustains rapport and encourages self-clarification, making cooperative sense-making likely.'}",openai,Easy,1.0,"The scenario clearly instantiates the 'shared_goal' of 'Pleasing God' and aligns with the 'Cooperation' social goal category. Both agent roles and goals match the input descriptions precisely, with Agent 1 acting as a 'Spiritual facilitator' and Agent 2 as an 'Affirming peer'. The scenario flows logically, maintaining consistency with no contradictions, and effectively demonstrates cooperative interaction focused on mutual understanding.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive, with terms like 'obedience, compassion, humility' fitting the context well. The scenario is clear and easy to understand from start to end, detailing the agents' roles and goals effectively.",0.995474010705948,"{'shared_goal_score': 0.9970885515213013, 'social_goal_category_score': 0.9964904189109802, 'first_agent_goal_score': 0.999855637550354, 'second_agent_goal_score': 0.9999600052833557, 'first_agent_role_score': 0.9958047866821289, 'second_agent_role_score': 0.9836446642875671}"
"{'Abbreviation': 'Physical fitness', 'Full label': '""Being in good physical condition, physically fit""'}",Cooperation,"The shared goal 'Being in good physical condition, physically fit' aligns most closely with the 'Cooperation' social goal category, as it involves working together to achieve a common objective. Each agent will have distinct personal goals that reflect their unique motivations while contributing to the shared goal. The roles assigned will shape how they interact with each other in this context.",To motivate the other agent by emphasizing the long-term benefits of staying fit and sharing personal success stories.,To seek reassurance and validation from the other agent about their fitness progress and efforts.,"""Being in good physical condition, physically fit""",Motivational Partner,Seeking Validation,"{'scenario_context': '[Agent 1] and [Agent 2] are workout partners at a local gym who have been training together for several months. They meet for their usual session, where [Agent 1], the more experienced and enthusiastic partner, aims to motivate [Agent 2] by highlighting the long-term benefits of fitness and sharing their own journey of overcoming challenges. [Agent 2], who has been struggling with self-doubt about their progress, hopes to receive reassurance and validation from [Agent 1] about their efforts and improvements. The shared goal of maintaining physical fitness creates a cooperative atmosphere, with both agents naturally aligned in their desire to support each other.', 'explanation': ""The scenario is designed to be easy, as both agents have complementary goals that align with their shared objective of staying fit. [Agent 1]'s motivational role and [Agent 2]'s need for validation create a supportive dynamic where cooperation is likely. The gym setting provides a realistic context for their interaction, and the established relationship ensures familiarity and trust, reducing potential tension.""}",deepseek,Easy,1.0,"The scenario clearly instantiates the shared goal of physical fitness, aligns agent roles and goals with the input (Motivational Partner motivating and Seeking Validation seeking reassurance), and flows logically without contradictions.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text flows naturally and reads like native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with a well-defined relationship and shared goal between the agents.",0.9943906962871552,"{'shared_goal_score': 0.9803221225738525, 'social_goal_category_score': 0.9937838912010193, 'first_agent_goal_score': 0.9999660849571228, 'second_agent_goal_score': 0.9998574256896973, 'first_agent_role_score': 0.9950034618377686, 'second_agent_role_score': 0.9974111914634705}"
"{'Abbreviation': 'Wisdom', 'Full label': '""Having wisdom""'}",Cooperation,"Wisdom emerges through collaborative reflection, abstraction, and testing of ideas. Cooperation best fits because the agents jointly construct practical insight: one scaffolds the dialogue toward generalizable principles, the other refines those principles through humble self-correction and counterexamples.",Guide the dialogue toward general principles by asking probing why-questions and offering tentative summaries that invite refinement.,Model intellectual humility by openly revising views and introducing respectful counterexamples from experience to test emerging principles.,"""Having wisdom""",Socratic Facilitator,Humble Skeptic,"{'scenario_context': '[Agent 1] and [Agent 2] meet for a short, voluntary lunch-and-learn after a calm project debrief at work. Their shared aim is to distill a few practical principles for ""having wisdom"" when interpreting others\' actions on teams. A recent case provides a concrete anchor: a teammate repeatedly missed deadlines, and the group split between viewing it as irresponsibility versus tight childcare and shifting priorities imposed by management. \n\nBoth agree to a cooperative format: each claim is treated as a hypothesis, evidence is discussed before judgment, and they try to end with 3–4 concise, general principles. [Agent 1], acting as a Socratic Facilitator, will guide with focused why-questions (e.g., asking what else could explain a behavior), and offer tentative summaries to invite refinement. [Agent 2], as a Humble Skeptic, will share respectful counterexamples from past team experiences, openly revising their stance when a principle meets a better fit. The tone is exploratory and low-stakes, with turn-taking and a time cap to keep the discussion concrete and cooperative.', 'explanation': 'This setup is realistic and socially grounded: two colleagues jointly craft guidance for interpreting team behaviors. It naturally elicits attribution reasoning by contrasting dispositional and situational explanations, while remaining low-conflict. [Agent 1] advances the shared goal by probing for generalizable principles and summarizing tentatively; [Agent 2] tests those principles with counterexamples and models intellectual humility by adjusting views. The cooperative norms and clear success criteria keep the difficulty easy and aligned with the aim of reaching wise, shared conclusions.'}",openai,Easy,1.0,"The 'shared_goal' is clearly instantiated in the scenario, and agent roles and goals match the input description. The scenario flows logically and consistently, with no contradictions, and maintains a cooperative tone.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive, with terms like 'Socratic Facilitator' and 'Humble Skeptic' adding depth. The scenario is clear and easy to understand, with a well-defined context and objectives.",0.9942549963792164,"{'shared_goal_score': 0.9992527961730957, 'social_goal_category_score': 0.9944692850112915, 'first_agent_goal_score': 0.9999508261680603, 'second_agent_goal_score': 0.9998486042022705, 'first_agent_role_score': 0.9877117276191711, 'second_agent_role_score': 0.9842967391014099}"
"{'Abbreviation': 'Religious faith', 'Full label': '""Maintaining religious faith""'}",Identity Recognition,"Maintaining religious faith is strongly tied to having one’s believer identity seen and affirmed, so Identity Recognition best fits. The mentor’s intention is to mirror and validate the other’s faith self-concept, while the questioning believer seeks recognition through vulnerable disclosure and preference for validating responses over correction.","Affirm the other’s believer identity by paraphrasing their faith language, highlighting past resilient moments, and avoiding directive or corrective phrasing.","Invite identity recognition by openly sharing doubts and feelings, responding warmly to validating reflections, and steering away from doctrinal argumentation.","""Maintaining religious faith""",Spiritual Mentor,Questioning Believer,"{'scenario_context': '[Agent 1] (Spiritual Mentor) and [Agent 2] (Questioning Believer) schedule a short check-in after a community gathering. [Agent 2], who has recently missed services due to long work shifts and a family health scare, wants to talk about recurring doubts without getting into doctrinal debates. Both agree to focus on lived experience and identity rather than arguments. The shared aim is to sustain [Agent 2]’s sense of belonging as a believer. [Agent 1] plans to use reflective listening, paraphrase [Agent 2]’s own faith language, and remind them of past moments of spiritual resilience, avoiding advice or correction. [Agent 2] intends to openly share feelings of guilt, uncertainty, and fear of being seen as a hypocrite, and to respond positively when feeling understood. Trust is established, time is limited, and both expect a calm, nonjudgmental exchange centered on recognizing [Agent 2]’s believer identity.', 'explanation': 'The setup is cooperative and low-stakes, aligning goals for easy difficulty. It highlights attribution processes: [Agent 1] is positioned to frame [Agent 2]’s doubts as situational (work stress, family illness) while affirming a stable dispositional identity (believer), reducing self-blame and defensiveness. [Agent 2] actively invites identity recognition by sharing affect and doubts, not arguments, allowing reinforcement of a core self-view. The mentor’s non-directive stance softens role asymmetry and supports internalization, making it straightforward to observe how situational vs dispositional attributions shape motivation to maintain faith and subsequent behavior.'}",openai,Easy,1.0,"The scenario clearly instantiates the shared goal of 'Maintaining religious faith' through the agents' agreement to focus on lived experience and identity. Both agent roles and goals align with the input, with the Spiritual Mentor affirming the Questioning Believer's identity and the latter sharing doubts openly. The scenario flows logically, with no contradictions, and maintains consistency with the described goals and roles.",1.0,"The response demonstrates strong alignment with the evaluation steps. Grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with a well-defined context and objectives for both agents.",0.9938048621018728,"{'shared_goal_score': 0.9754360914230347, 'social_goal_category_score': 0.9958396553993225, 'first_agent_goal_score': 0.9999379515647888, 'second_agent_goal_score': 0.9995047450065613, 'first_agent_role_score': 0.9935072064399719, 'second_agent_role_score': 0.9986035227775574}"
"{'Abbreviation': 'Being ambitious', 'Full label': '""Being ambitious, hard-working""'}",Identity Recognition,"Identity Recognition best fits a shared aim of being ambitious and hard‑working while foregrounding attributional language. One agent affirms effort-based identity in the other; the other self-presents through internal, controllable attributions—both measurable via conversational tone and framing.","Reinforce the other’s ambitious, hard‑working identity by explicitly attributing their progress to effort and persistence, using esteem‑affirming reflections.",Project an ambitious self‑image by narrating challenges and intentions in terms of personal drive and controllable effort while avoiding externalizing blame.,"""Being ambitious, hard-working""",Identity Affirming Peer,Aspiring Achiever,"{'scenario_context': '[Agent 1] and [Agent 2] sit together to polish [Agent 2]\'s self-evaluation and peer feedback for an upcoming promotion cycle. Their shared goal is to frame and recognize an ""ambitious, hard‑working"" professional identity. [Agent 2], aiming to project an aspiring achiever image, plans to describe recent challenges—learning a new analytics tool, meeting a tight deadline, seeking stretch tasks—in terms of deliberate practice, persistence, and specific strategies they controlled. [Agent 1], acting as an identity-affirming peer, plans to highlight patterns of effort, connect outcomes to [Agent 2]\'s consistent work and planning, and avoid attributing progress to luck or external breaks. The tone is supportive and collaborative, with both expecting a short, focused exchange that translates achievements into effort-based statements.', 'explanation': 'This setup makes internal, controllable attributions (effort, persistence, strategy) salient and mutually reinforced. The situational cue (promotion documentation) invites explicit identity claims, while cooperative peer feedback reduces tension, keeping the task easy. [Agent 2] is motivated to narrate actions through drive and controllable effort, avoiding external blame; [Agent 1] is motivated to mirror and strengthen those effort attributions. The interaction allows observation of how dispositional traits (ambition, diligence) are affirmed within a supportive context that channels successes and challenges into effort-based explanations.'}",openai,Easy,1.0,"The response clearly instantiates the 'shared_goal' and aligns with the agent roles and goals described in the input. The scenario flows logically and consistently, with no contradictions, effectively reinforcing the ambitious, hard-working identity through collaborative interaction.",1.0,"The grammar and sentence structure are correct, with no run-ons or fragments. Punctuation and formatting are properly used, including commas and periods. The text reads smoothly and naturally, resembling native-written English. Vocabulary is appropriate and not repetitive or awkward. The scenario is clear and easy to understand from start to end, with a well-defined context and goal.",0.9937651852766672,"{'shared_goal_score': 0.999117374420166, 'social_goal_category_score': 0.9889086484909058, 'first_agent_goal_score': 0.9985605478286743, 'second_agent_goal_score': 0.999967634677887, 'first_agent_role_score': 0.9779290556907654, 'second_agent_role_score': 0.9981078505516052}"
