base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario,model_name,difficulty
"{'Abbreviation': 'Avoiding rejection', 'Full label': '""Avoiding rejection by others""'}",Relationship Maintenance,"Avoiding rejection centers on preserving acceptance and affiliation, which fits Relationship Maintenance. The agents’ goals operationalize distinct social intentions: one seeks inclusion via affiliative alignment (mirroring, self-disclosure), while the other preserves the relationship by validating and offering situational attributions to protect face. These behaviors are observable in dialogue without relying on explicit agreement.","Signal warmth and similarity by mirroring the other’s word choice and tone, offering small personal self-disclosures, and using affirming back-channels to appear includable.",Convey acceptance and protect the other’s face by consistently validating their contributions and reframing any awkwardness as situational rather than dispositional.,"""Avoiding rejection by others""",Anxious Newcomer,Supportive Insider,"{'scenario_context': '[Agent 1], an anxious newcomer, has just reacted with a lighthearted emoji in the company-wide orientation chat during a sober update about budget restraints. The room went quiet, a senior moderator posted ""Let’s keep chat focused,"" and the projected feed froze on [Agent 1]’s reaction for several seconds. During the short coffee break before small-group assignments, [Agent 1] approaches [Agent 2], a socially central insider informally tasked as a buddy, within earshot of a few peers who witnessed the misstep. Time is tight, norms are ambiguous (banter is common in side channels, but not during leadership segments), and the senior moderator is nearby.\n\nBoth aim to avoid rejection by others in the cohort: [Agent 1] intends to signal warmth and similarity by mirroring [Agent 2]’s language and tone, offering small personal disclosures (e.g., nervousness, unfamiliarity with the platform), and using affirming back-channels to appear includable. [Agent 2] intends to convey acceptance and protect [Agent 1]’s face by validating their contributions and reframing the awkward moment as situational (chat lag, thread confusion, unclear expectations) rather than dispositional (flippant, insensitive). The challenge: any overt repair risks drawing more attention to the misstep, mirroring could come off as ingratiating under evaluation, and peers are silently updating impressions before breakout teams are formed.', 'explanation': 'High difficulty arises from public evaluation, time pressure, and ambiguous norms that invite dispositional attributions. The scenario engages attribution theory: observers may commit the fundamental attribution error (reading [Agent 1]’s gaffe as character). [Agent 2] attempts other-serving, situational reframing to protect face and group inclusion. [Agent 1] uses similarity signaling, reciprocal self-disclosure, and mirroring to counter belonging threat, but risks appearing inauthentic if overdone. The shared goal of avoiding rejection conflicts with the need to repair without amplifying attention, creating tension between impression management and authenticity.'}",openai,Hard
"{'Abbreviation': 'Being intelligent', 'Full label': '""Being intelligent""'}",Identity Recognition,"The shared goal of 'being intelligent' is about signaling and recognizing an identity trait. Identity Recognition fits because agents will manage impressions and attributions of intelligence through conversational style: one displays structured reasoning, the other probes and tests assumptions.",Project an intelligent identity by consistently framing ideas with stepwise logic and linking them to overarching principles in responses.,"Probe the partner’s intellectual identity by asking precise, assumption-testing questions that invite justification and boundary conditions.","""Being intelligent""",Theory Builder,Socratic Peer,"{'scenario_context': '[Agent 1] (Theory Builder) and [Agent 2] (Socratic Peer) are in a live, timed fellowship selection exercise that evaluates ""intelligence"" via structured reasoning, assumption-testing, and cooperative synthesis. They must jointly defend a two-page concept note: 2 minutes for [Agent 1] to present a stepwise, principle-driven framework; 2 minutes for [Agent 2] to probe assumptions and boundary conditions; 3 minutes to integrate into a concise joint statement. The panel penalizes unresolved conflict, jargon, and lack of synthesis, but the weightings of novelty vs parsimony are unclear. Earlier feedback labeled their submission ""grand but vague"" and ""overly critical internally,"" and they have not rehearsed together. Both are aware that a live audience and a strict timer will interrupt turns. Shared goal: be recognized as intelligent as a pair. Personal goals: [Agent 1] wants to display intelligence through tightly sequenced logic linked to overarching principles; [Agent 2] wants to display intelligence by eliciting justifications and limits through precise, assumption-testing questions. The format forces [Agent 2]’s probing to immediately follow [Agent 1]’s pitch, risking face threat and compressing the time needed for synthesis, while unclear scoring creates pressure to either generalize boldly or qualify heavily.', 'explanation': 'This setup creates high identity stakes and evaluative pressure, making attributional biases likely. Under time pressure and ambiguous criteria, [Agent 1] may attribute [Agent 2]’s probing to dispositional nitpicking rather than the situational demand to test assumptions, while [Agent 2] may attribute [Agent 1]’s rigidity to personal dogmatism rather than the need to appear structured and principled. Each is motivated to protect an intelligent identity (self-serving attributions) and may interpret the other’s moves as ego-driven rather than cooperative (fundamental attribution error). The ordered format amplifies face threat: probing immediately after a pitch can feel like status challenge, inviting defensive explanations by [Agent 1] and escalating precision demands by [Agent 2]. The shared goal (joint recognition of intelligence) competes with individual display goals (theory-building vs cross-examination), heightening tension around when to elaborate, when to concede, and how quickly to synthesize.'}",openai,Hard
"{'Abbreviation': 'Educational degree', 'Full label': '""Obtaining an advanced educational degree""'}",Cooperation,"Cooperation best fits because both agents must align their interactions to jointly progress toward an advanced degree. Their personal goals create complementary, observable social behaviors: one structures collaboration, the other preserves flexibility—yielding a cooperative dynamic with negotiated coordination.","Take conversational leadership by organizing topics, proposing next steps, and summarizing the discussion to shape a shared study plan.","Maintain autonomy by voicing preferences, setting boundaries, and reframing proposals to keep plans flexible.","""Obtaining an advanced educational degree""",Study Organizer,Independent Peer,"{'scenario_context': '36 hours before course registration closes, [Agent 1] and [Agent 2] meet on a video call to finalize a joint study plan required by their department to secure seats in an oversubscribed methods seminar, qualify for their advisor’s lab, and maintain funding for the semester. The plan must include fixed weekly study blocks, a task division for qualifying exam prep, and deadlines for a collaborative project. Once submitted, the plan is binding with penalties for deviations. [Agent 1] brings a detailed agenda, a proposed timeline, and a draft schedule aimed at locking in commitments. [Agent 2] brings non-negotiable constraints (irregular work shifts and caregiving) and a desire to keep multiple course and study options open, preferring flexible commitments and renegotiation clauses. There is a history of tension: a prior planning session ended with [Agent 1] sending a structured follow-up that [Agent 2] did not endorse. Both need to agree today on the seminar section, study blocks, and who leads which milestones, or risk losing spots and delaying their degree.', 'explanation': 'The shared goal is progressing toward an advanced degree by securing required courses, lab placement, and a viable qualifying exam plan. Individually, [Agent 1] aims to take conversational leadership—organizing topics, proposing next steps, and summarizing decisions—to shape a clear, fixed study plan. [Agent 2] aims to maintain autonomy by voicing preferences, setting boundaries, and reframing proposals to keep plans flexible. High stakes (binding plan, limited seats, funding tied to compliance) heighten tension: [Agent 1] is incentivized to press for firm commitments; [Agent 2] is incentivized to resist rigidity due to situational constraints. Likely attribution dynamics: [Agent 1] may read [Agent 2]’s push for flexibility as lack of commitment (dispositional), while [Agent 2] may interpret [Agent 1]’s structure as controlling (dispositional), discounting situational pressures on each side. The setup forces direct negotiation over control, timing, and accountability under time pressure, making cooperation difficult despite aligned long-term goals.'}",openai,Hard
"{'Abbreviation': 'Belonging', 'Full label': '""Belonging to social groups, feeling like part of a group""'}",Relationship Building,"Relationship Building best supports a shared desire to feel part of a group. One agent pursues belonging by signaling similarity and openness; the other facilitates belonging by validating and integrating the partner into a shared identity, allowing attributional inferences about disposition (warmth, openness) versus situational inclusion norms.","Convey openness to join the group by offering modest, relatable self-disclosures and asking curiosity-driven questions that surface common ground, while subtly mirroring the other’s tone to signal alignment.","Communicate acceptance by warmly affirming the other’s points, reframing them into inclusive ‘we’ statements, and inviting their perspective on group matters to position them as a peer.","""Belonging to social groups, feeling like part of a group""",Newcomer,Group Welcomer,"{'scenario_context': '[Agent 1], a newcomer, is introduced at the start of a tightly timed online meeting of a neighborhood mutual-aid group. A prior newcomer leaked internal notes last month, so members are wary and the session is being recorded. A pending vote will decide whether [Agent 1] gets access to internal channels; several senior members watch silently with cameras off and side-channel chat active. Rumors frame [Agent 1] as having consulted for a developer the group recently opposed. The group’s norm favors understated, consensus-seeking talk and insider acronyms; interruptions are frowned upon, and pauses are common. [Agent 2], the designated welcomer, must greet [Agent 1] in a brief agenda slot while signaling to the group that standards are upheld. [Agent 1] aims to share small, relatable details and ask curious questions to surface common ground, while subtly mirroring [Agent 2]’s tone. The time pressure, evaluative audience, and ambiguous cues (silence, chat pings, lag) raise the risk of misinterpretation on both sides.', 'explanation': 'High difficulty arises from low trust after a recent breach, a consequential membership vote, and audience effects that inhibit candor. Norm ambiguity (jargon, pauses, understated speech) makes warmth and agreement hard to detect, inviting dispositional attributions (""cold,"" ""pushy"") from thin cues. [Agent 1] must calibrate modest self-disclosure without triggering suspicions about motives; [Agent 2] must project inclusion while also gatekeeping, risking a cooler tone that can be misread as rejection. Time limits and hybrid-channel noise amplify uncertainty, increasing the chance of misattributing situational constraints to personal traits, directly stressing both agents’ goals of alignment and acceptance.'}",openai,Hard
"{'Abbreviation': 'Finding higher meaning', 'Full label': '""Finding higher meaning in life, coherence, harmony, oneness""'}",Relationship Building,"The shared aim of higher meaning and oneness is best supported by Relationship Building, where mutual vulnerability and reflective synthesis foster closeness and coherence. One agent opens space through self-disclosure; the other weaves a shared narrative through reflective linking.",Create emotional openness by sharing personal existential stories and inviting the other’s interpretation to deepen connection.,"Foster unity by reflecting the other’s language and linking both viewpoints into a coherent, shared theme during dialogue.","""Finding higher meaning in life, coherence, harmony, oneness""",Vulnerable Storyteller,Reflective Synthesizer,"{'scenario_context': '[Agent 1] and [Agent 2] are paired in a structured ""meaning-making"" dyad during a cross-belief dialogue retreat. Their task, under a seven-minute timer, is to co-create a two-sentence statement titled ""Where Our Lives Touch"" that will be read to the larger group and archived. The exercise requires [Agent 1] to share a pivotal life story for two minutes while [Agent 2] mirrors the language and offers a linking theme; then they must agree on the shared statement.\n\nEarlier in the day, both publicly disagreed during a plenary on whether ""oneness"" language can erase important differences. The facilitator intentionally paired them to bridge perspectives. Group norms stress psychological safety and non-proselytizing, yet the archived deliverable and time pressure create performance concerns. Nearby pairs are within earshot, and a facilitator announces time remaining.\n\n[Agent 1], in the role of Vulnerable Storyteller, intends to disclose a recent existential crisis and explicitly invite [Agent 2]\'s interpretation to deepen connection but is wary of being paraphrased into clichés. [Agent 2], as Reflective Synthesizer, aims to reflect [Agent 1]\'s exact wording and weave both viewpoints into a cohesive theme, yet worries about imposing coherence or appearing manipulative. Both need to converge on a statement about higher meaning, harmony, and oneness without invalidating differences.', 'explanation': ""The situation is hard because interpersonal and situational pressures collide: tight time limits, public accountability (archived statement), and recent ideological tension heighten self-presentation concerns. Dispositionally, [Agent 1] seeks deep emotional openness but is sensitive to being reduced or reframed; [Agent 2] habitually synthesizes and mirrors, which can feel controlling under pressure. Attribution risks arise: [Agent 1] may read [Agent 2]'s paraphrasing as inauthentic or unity-enforcing (a dispositional judgment) rather than a response to time and task constraints; [Agent 2] may attribute [Agent 1]'s hesitations to rigidity rather than trauma-informed caution. The shared goal of higher meaning competes with personal goals (vulnerability vs synthesis) and group norms (safety vs deliverable), making agreement on a coherent joint statement difficult without sacrificing connection.""}",openai,Hard
"{'Abbreviation': 'Entertaining others', 'Full label': '""Amusing, entertaining others""'}",Cooperation,"Entertaining others is best achieved through coordinated, complementary behaviors, so Cooperation fits. One agent facilitates humor with steady setups and openness; the other escalates with energetic punchlines. These distinct intentions enable analysis of dispositional styles (supportive vs. performative) interacting with the shared performance context.","Maintain a calm, deadpan tone that offers open-ended setups and accepts playful teasing without defensiveness to invite the partner’s humor.","Deliver quick, witty escalations and callbacks that affirm and build on the partner’s setups with expressive energy.","""Amusing, entertaining others""",Setup specialist,Punchline specialist,"{'scenario_context': 'At a mandatory all-hands two days after an unpopular cost-cutting announcement, [Agent 1] and [Agent 2] are asked to ""do a quick five minutes"" to lift morale between serious agenda items. HR and the CFO sit up front; team leads who approved overtime are scattered in back. The organizer forbids references to layoffs, budget, burnout, or specific leaders, and asks them to work in the phrase ""resilience and ownership."" A live chat feed from remote employees is projected beside them, mixing eye-roll emojis and terse complaints. They have one slightly delayed handheld mic to pass and have never performed together. [Agent 1] is expected to keep a calm, deadpan demeanor and invite [Agent 2]\'s riffs with open-ended setups while tolerating gentle jabs. [Agent 2] is expected to escalate quickly, do callbacks, and keep energy high without seeming to mock the audience. A stern timekeeper flashes a two-minute warning early, and the organizer whispers, ""If it gets weird, pivot to a values shout-out."" The front row includes a director who was the subject of a recent internal meme; the room is tense and easily offended.', 'explanation': ""The setting makes entertaining others difficult: the audience is defensive, content constraints remove obvious topics, and a visible chat amplifies negative feedback. [Agent 1]'s flat affect risks being misattributed as indifference or sarcasm, while [Agent 2]'s energetic escalations risk seeming insensitive or insubordinate. One mic with delay disrupts timing for setups and callbacks, increasing the chance of interruptions and misfires. Their personal goals can clash—[Agent 2] may step on [Agent 1]'s strategic pauses; [Agent 1] must accept teasing without appearing brittle. Success requires tight cooperation to acknowledge tension without naming taboos, read mixed signals in real time, and coordinate affirming, additive humor under surveillance from leadership.""}",openai,Hard
"{'Abbreviation': 'Exploring', 'Full label': '""Seeking new things, exploring, being adventurous""'}",Cooperation,Cooperation fits because both agents pursue adventure together by coordinating complementary conversational behaviors—one introduces bold ideas while the other shapes them—allowing shared exploration to progress without stalling or drifting into conflict.,"Stimulate a sense of adventure by proposing unconventional possibilities in an upbeat, invitational tone that opens space for joint exploration.","Keep momentum by responding to proposals with curious, clarifying questions and connective commentary that preserves boldness while making ideas feel workable.","""Seeking new things, exploring, being adventurous""",Novelty Catalyst,Curious Navigator,"{'scenario_context': '[Agent 1] and [Agent 2] have a two-hour working session to produce a single, cohesive pitch for an ""adventure-forward"" executive offsite activity. The sponsor expects bold novelty that feels genuinely exploratory; legal, HR, and insurance require a concrete safety and accessibility plan before close of business, and the permit application is due tonight. The budget is fixed and changes are unlikely to be approved after submission. A prior concept from [Agent 1] was rejected as ""impractical,"" while recent feedback framed [Agent 2] as someone who ""kills the vibe"" with questions. The sponsor warned that anything that looks either cautious or chaotic will be declined, and a compliance officer will join at the end to review what they produce. \n\nShared aim: keep the adventurous spirit intact while landing something executable under scrutiny. [Agent 1] intends to stimulate a sense of adventure by proposing unconventional possibilities in an upbeat, invitational way that opens space for joint exploration. [Agent 2] aims to keep momentum by responding with curious, clarifying questions and connective commentary that preserves boldness while making ideas workable. \n\nComplications: They hold different assumptions about the executives’ risk tolerance (surprise versus controlled novelty), [Agent 2] is the one who must submit the feasibility documentation with their name on it, and [Agent 1] will be the visible face of the pitch to the sponsor. Both are aware that appearing divided will likely sink the proposal.', 'explanation': 'Hard difficulty arises from high time pressure, tightly coupled constraints (novelty vs. safety/compliance), and reputational stakes shaped by prior feedback. These conditions amplify attribution tensions: [Agent 1] may read questions as dispositional skepticism rather than situational due diligence; [Agent 2] may read bold proposals as recklessness rather than role-driven ideation. Cooperation is necessary but fragile, as each must pursue their personal conversational goals without triggering the sponsor’s or compliance officer’s negative evaluations or each other’s defensiveness.'}",openai,Hard
"{'Abbreviation': 'Intellectual conversations', 'Full label': '""Having intellectual experiences, conversations, discussing interesting topics""'}",Cooperation,Cooperation best fits a shared aim of engaging in intellectual conversations; both agents coordinate to co-construct understanding through complementary conversational behaviors.,"Elicit and align the other's reasoning by asking open-ended, clarifying questions and paraphrasing their points to check shared understanding.","Advance the discussion by extending the other's ideas with illustrative examples and tentative links to broader themes, while inviting nuance or correction.","""Having intellectual experiences, conversations, discussing interesting topics""",Socratic Facilitator,Conceptual Synthesizer,"{'scenario_context': 'A live, hybrid university forum is wrapping up after a contentious lecture on algorithmic hiring. [Agent 1] is moderating the closing Q&A; [Agent 2] is the featured discussant known for connecting ideas across disciplines. The sponsor, a consortium of HR leaders, has asked them to end with three concrete takeaways. A journalist is present and the session is being clipped for social media. With five minutes left, a highly upvoted audience question appears on their shared tablet: ""Isn’t meritocracy objective, and isn’t bias simply a data-cleaning problem? Yes or no?"" The chat demands quick answers; the room is polarized from earlier exchanges in which [Agent 1]’s probing was perceived by some as hostile, and [Agent 2] was criticized online last week for ""hand-waving generalities."" Under a countdown clock, [Agent 1] aims to elicit and align [Agent 2]’s reasoning by clarifying assumptions behind ""merit"" and ""bias,"" paraphrasing to check mutual understanding. [Agent 2] aims to advance the discussion by extending [Agent 1]’s clarifications with concrete hiring examples and linking them to broader themes like distributive justice and institutional incentives, while inviting nuance. Both must keep the exchange intellectually rich yet succinct, knowing equivocation will be seen as evasive and oversimplification as irresponsible.', 'explanation': 'The shared goal—an engaging, intellectually satisfying discussion—is strained by time pressure, polarized audience expectations, sponsor demands for actionable conclusions, and reputational stakes. Dispositionally, [Agent 1] favors precision through Socratic questioning; [Agent 2] favors synthesis and thematic linkage. Situationally, the yes/no framing, visible countdown, and public scrutiny invite fundamental-attribution errors: [Agent 1]’s clarifications risk being read as obstruction; [Agent 2]’s expansions risk being read as evasive. Prior misperceptions heighten defensiveness and self-presentation concerns, making it hard to coordinate: aligning definitions without seeming to stall, extending ideas without drifting into abstractions, and jointly resisting a false dichotomy while producing crisp takeaways.'}",openai,Hard
"{'Abbreviation': 'Feeling safe', 'Full label': '""Feeling safe and secure""'}",Relationship Maintenance,"Feeling safe and secure is sustained by a steady relational climate of reassurance and reliability, so Relationship Maintenance fits best. One agent seeks emotional validation through vulnerable self-disclosure, while the other maintains security by offering calm, consistent reassurance.","Seek emotional validation by openly sharing fears and making gentle bids for reassurance in a vulnerable, inquisitive tone.","Convey reliability by using calm, steady language that affirms feelings and signals consistent availability and predictability.","""Feeling safe and secure""",Concerned roommate,Reassuring roommate,"{'scenario_context': ""[Agent 1] and [Agent 2] are roommates in their apartment on a windy evening after two recent break-in attempts on their floor. Building management has announced the front door lock will not be fixed until next week. Earlier, someone knocked and left without speaking, and the hallway lights have been flickering. [Agent 1], already anxious from reading neighborhood posts, wants to feel safe tonight and to maintain closeness. They intend to share specific fears and gently ask for reassurance and predictable check-ins. [Agent 2], just home from a long shift and due back out for an overnight in 30 minutes, wants to help [Agent 1] feel secure by offering steady, reliable plans and affirming their feelings without escalating panic. The conversation will happen as [Agent 2] gathers to leave and work messages ping. Tension is high due to time pressure, fatigue, and a recent memory where [Agent 2] minimized [Agent 1]'s worry, creating doubt about dependability. They must align on immediate safety steps (door setups, contact plans) while balancing emotional needs, boundaries, and limited availability."", 'explanation': ""This setup creates a hard-level challenge by combining a real safety threat, time pressure, and prior trust rupture. Dispositional factors: [Agent 1] has high threat sensitivity and a need for emotional validation; [Agent 2] is conscientious and calm but low in expressive warmth. Situational constraints include recent incidents, management delays, fatigue, and imminent separation for an overnight shift. These conditions invite attribution errors: [Agent 1] may interpret [Agent 2]'s brevity as indifference (dispositional) rather than exhaustion and time pressure (situational), while [Agent 2] may see [Agent 1]'s urgency as overreactivity or mistrust rather than a reasonable response to threat. The shared goal of feeling safe and secure collides with personal goals—bids for reassurance versus signaling reliability—under scarce time and ambiguous cues, making success difficult but diagnostically rich for analyzing attribution processes.""}",openai,Hard
"{'Abbreviation': 'Knowing myself', 'Full label': '""Knowing myself, being in touch with myself""'}",Identity Recognition,"Identity Recognition aligns with the shared goal of knowing oneself; one agent foregrounds self-disclosure, while the other uses reflective probing and self-contrast to refine identity contours through dialogue.",Articulate core feelings and values in first-person self-disclosures and invite brief reflections to surface my own identity themes.,Mirror the other's statements with empathic paraphrases and pose gentle what/why probes while occasionally stating my own resonances or differences to clarify identity boundaries.,"""Knowing myself, being in touch with myself""",Introspective Seeker,Socratic Reflector,"{'scenario_context': '[Agent 1] and [Agent 2] are paired for a 20-minute identity-focused peer exchange during a leadership development workshop. The exercise centers on [Agent 1]\'s self-discovery, with [Agent 2] in a reflecting/facilitating role. The session is labeled ""semi-confidential"": themes (not quotes) may be summarized to the cohort and integrated into each participant\'s development plan, and [Agent 2] also serves on a committee that reviews those plans. The day before, the two publicly disagreed about whether values should ever override team consensus, and [Agent 1] recently received feedback that their ""idealism"" alienates others. Visible colleagues and a running timer heighten performance pressure.\n\nShared goal: articulate and clarify ""who I am"" for [Agent 1].\n- [Agent 1]\'s personal goal: make first-person disclosures that surface core feelings and values, while inviting brief reflections to reveal identity themes without being judged or managerially evaluated.\n- [Agent 2]\'s personal goal: mirror statements, ask gentle what/why probes, and occasionally voice their own resonances or differences to help draw boundaries—without steering the discussion or slipping into evaluation.\n\nConstraints that make the exchange hard: ambiguous confidentiality, prior disagreement, a subtle power imbalance (review influence), time pressure, and a cultural style mismatch—[Agent 1] favors slow, inward exploration; [Agent 2] favors concise, structured probing. The setup risks turning into debate, self-protective impression management, or role confusion (coaching vs. assessment), rather than genuine introspection.', 'explanation': ""This context is realistic for workplace identity work and creates high difficulty by combining situational pressures (semi-confidentiality, visibility, time limits, power asymmetry) with dispositional contrasts ([Agent 1]'s idealism and sensitivity to authenticity; [Agent 2]'s structured, probing style). The shared goal of self-knowledge is threatened by defensive attribution (politics vs. trait deficits), impression management, and the temptation for [Agent 2] to drift from mirroring into evaluation. The prior disagreement and committee role heighten threat and boundary ambiguity, making it challenging for [Agent 1] to disclose and for [Agent 2] to probe while maintaining trust and clarity about identity boundaries.""}",openai,Hard
